# Generated by arena_route_planner.py. Coordinates use the start-relative map frame.
# x[m],y[m],yaw[rad],speed[m/s],tolerance[m],stop_time[s]
x,y,yaw,speed,tolerance,stop_time
# START
0.000000,0.000000,,0.500,0.060,0.000
0.175000,-0.075000,,0.500,0.060,0.000
0.187500,-0.287500,,0.500,0.060,0.000
# TASK_1
0.200000,-0.500000,,0.500,0.080,0.500
0.508333,-0.508333,,0.500,0.060,0.000
0.816667,-0.516667,,0.500,0.060,0.000
1.125000,-0.525000,,0.500,0.060,0.000
1.175000,-0.675000,,0.500,0.060,0.000
1.183333,-0.950000,,0.500,0.060,0.000
1.191667,-1.225000,,0.500,0.060,0.000
# TASK_2
1.200000,-1.500000,,0.500,0.080,0.500
1.533333,-1.500000,,0.500,0.060,0.000
1.866667,-1.500000,,0.500,0.060,0.000
# TASK_3
2.200000,-1.500000,,0.500,0.080,0.500
2.533333,-1.500000,,0.500,0.060,0.000
2.866667,-1.500000,,0.500,0.060,0.000
# TASK_4
3.200000,-1.500000,,0.500,0.080,0.500
3.533333,-1.500000,,0.500,0.060,0.000
3.866667,-1.500000,,0.500,0.060,0.000
# TASK_5
4.200000,-1.500000,,0.500,0.080,0.500
4.200000,-1.166667,,0.500,0.060,0.000
4.200000,-0.833333,,0.500,0.060,0.000
# TASK_6
4.200000,-0.500000,,0.500,0.080,0.500
4.200000,-0.166667,,0.500,0.060,0.000
4.200000,0.166667,,0.500,0.060,0.000
# TASK_7
4.200000,0.500000,,0.500,0.080,0.500
4.200000,0.833333,,0.500,0.060,0.000
4.200000,1.166667,,0.500,0.060,0.000
# TASK_8
4.200000,1.500000,,0.500,0.080,0.500
3.866667,1.500000,,0.500,0.060,0.000
3.533333,1.500000,,0.500,0.060,0.000
# TASK_9
3.200000,1.500000,,0.500,0.080,0.500
2.866667,1.500000,,0.500,0.060,0.000
2.533333,1.500000,,0.500,0.060,0.000
# TASK_10
2.200000,1.500000,,0.500,0.080,0.500
1.866667,1.500000,,0.500,0.060,0.000
1.533333,1.500000,,0.500,0.060,0.000
# TASK_11
1.200000,1.500000,,0.500,0.080,0.500
1.191667,1.191667,,0.500,0.060,0.000
1.183333,0.883333,,0.500,0.060,0.000
1.175000,0.575000,,0.500,0.060,0.000
1.075000,0.525000,,0.500,0.060,0.000
0.783333,0.516667,,0.500,0.060,0.000
0.491667,0.508333,,0.500,0.060,0.000
# TASK_12
0.200000,0.500000,,0.500,0.080,0.500
0.187500,0.287500,,0.500,0.060,0.000
0.175000,0.075000,,0.500,0.060,0.000
# RETURN
0.000000,0.000000,0.000000,0.500,0.060,0.000
